"","arm_length_in_inches","bench_press_in_reps","broad_jump_in_inches","fourty_time_in_seconds","height_in_inches","left_hand_size_in_inches","player_id","position","projected_position","right_hand_size_in_inches","ten_time_in_seconds","three_cone_in_seconds","twenty_shuttle_in_seconds","twenty_time_in_seconds","vertical_jump_in_inches","weight_in_pounds","wingspan_in_inches","year"
"3672",NA,31,NA,4.46,71.875,NA,790,"DB","S",NA,NA,NA,NA,NA,NA,211,NA,2001
"3673",31,24,117,4.45,72.875,NA,6307,"WO","TE",8.875,1.55,6.9,4.14,2.62,34.5,224,NA,2011
"3674",34.625,NA,120,4.51,76.375,NA,8165,"WO","WR",10.375,1.6,7.03,4.07,2.66,34.5,225,NA,2013
"3675",32.5,NA,121,4.47,73.125,NA,10788,"WO","WR",10.125,1.57,7.08,4.33,2.6,34.5,207,NA,2016
"3676",32.375,14,120,4.54,71,NA,47792,"WO","WR",9.75,1.59,7.11,4.32,2.64,34.5,213,NA,2018
"3677",33.5,16,124,4.56,76.75,NA,48097,"WO","WR",10.5,NA,7.2,4.4,NA,34.5,218,NA,2018
"3678",NA,18,123,4.44,69,NA,677,"WO","WR",NA,NA,6.62,3.82,NA,38,191,NA,2000
"3679",NA,NA,NA,4.45,72,NA,800,"WO","WR",NA,NA,NA,NA,NA,NA,198,NA,2001
"3680",NA,NA,NA,4.61,73.5,NA,2864,"WO","WR",NA,1.6,NA,NA,2.69,NA,211,NA,2001
"3681",NA,11,123,4.53,71.625,NA,869,"RB","HB",NA,1.59,7.08,4.06,2.62,40,226,NA,2001
"3682",NA,NA,NA,4.76,74.125,NA,2907,"LB","ED",NA,1.7,NA,NA,2.73,NA,251,NA,2001
"3683",NA,33,108,5.19,76.875,NA,814,"DL","DI",NA,1.81,7.85,4.4,2.96,31,318,NA,2001
"3684",NA,NA,100,5.24,75.375,NA,842,"DL","DI",NA,1.78,8,4.8,2.99,30,299,NA,2001
"3685",31.5,37,114,5,74.125,NA,856,"OL","G",9.5,1.69,7.71,4.53,2.86,32.5,303,NA,2001
"3686",NA,NA,119,4.4,70,NA,827,"DB","CB",NA,NA,NA,NA,NA,NA,179,NA,2001
"3687",NA,24,NA,5.2,77,NA,813,"OL","G",NA,NA,NA,NA,NA,NA,304,NA,2001
"3688",NA,12,129,4.42,71.125,NA,3003,"DB","CB",NA,1.56,6.65,4.16,2.57,37,189,NA,2006
"3689",NA,17,98,5.32,73.5,NA,871,"DL","DI",NA,1.81,8.07,4.71,3.04,NA,319,NA,2001
"3690",NA,NA,NA,4.56,73.125,NA,841,"RB","HB",NA,1.61,NA,NA,2.63,NA,235,NA,2001
"3691",NA,21,127,4.91,77,NA,848,"DL","ED",NA,1.76,7.43,4.43,2.82,41,255,NA,2001
"3692",NA,6,125,4.42,70.125,NA,5418,"DB","CB",NA,NA,6.71,4.05,NA,34.5,170,NA,2009
"3693",NA,17,122,4.42,69.125,NA,618,"DB","CB",NA,1.54,6.76,3.98,2.59,35.5,180,NA,2000
"3694",NA,NA,119,4.75,75.625,NA,816,"DL","ED",NA,NA,7.16,4.03,NA,38,263,NA,2001
"3695",NA,24,125,4.92,74.375,NA,830,"DL","ED",NA,1.72,7.85,NA,2.8,40,264,NA,2001
"3696",NA,NA,NA,5.28,76,NA,828,"DL","DI",NA,NA,NA,NA,NA,NA,320,NA,2001
"3697",NA,30,111,4.56,71.875,NA,843,"RB","FB",NA,1.59,7.3,4.24,2.64,34.5,246,NA,2001
"3698",NA,21,112,4.69,72.375,NA,849,"LB","LB",NA,1.7,7.62,4.08,2.7,33.5,237,NA,2001
"3699",NA,16,NA,4.7,74.375,NA,859,"LB","LB",NA,NA,NA,NA,NA,NA,245,NA,2001
"3700",NA,37,114,4.63,72.875,NA,865,"RB","FB",NA,1.64,7.56,4.5,2.73,31,250,NA,2001
"3701",NA,17,106,5.26,77,NA,864,"OL","G",NA,1.8,7.62,4.62,2.99,33.5,303,NA,2001
"3702",NA,20,104,5.33,77.875,NA,840,"OL","T",NA,1.83,7.87,4.8,2.97,33,328,NA,2001
"3703",NA,NA,NA,NA,73,NA,874,"LB","LB",NA,1.7,NA,NA,2.79,NA,250,NA,2001
"3704",30.75,NA,NA,5.12,74.375,NA,148,"QB","QB",9.5,1.89,NA,NA,2.99,NA,202,NA,1995
"3705",33,NA,111,4.96,74.25,NA,248,"QB","QB",9.25,1.71,7.3,4.29,2.93,30,195,NA,1997
"3706",33.75,NA,118,4.89,73.875,NA,367,"QB","QB",9.75,1.73,7.6,4.11,2.87,33.5,216,NA,1998
"3707",NA,NA,116,4.64,74.25,NA,438,"QB","QB",NA,1.66,7.3,4.38,2.71,33,223,NA,1999
"3708",NA,NA,NA,4.52,76,NA,446,"QB","QB",NA,1.57,NA,NA,2.6,NA,255,NA,1999
"3709",33.5,NA,115,4.71,73.125,NA,826,"QB","QB",9.25,1.63,7.36,4.35,2.71,35.5,223,NA,2001
"3710",NA,NA,NA,5.2,76,NA,861,"QB","QB",NA,NA,NA,NA,NA,NA,226,NA,2001
"3711",32.5,NA,107,4.74,76.375,NA,863,"QB","QB",9.25,1.69,7.07,4.29,2.76,34,228,NA,2001
"3712",NA,NA,113,4.54,72.25,NA,836,"DB","S",NA,1.59,7.21,4.27,2.62,34.5,199,NA,2001
"3713",NA,22,126,4.56,74.25,NA,807,"DB","S",NA,1.61,7.14,4.2,2.68,40,206,NA,2001
"3714",NA,NA,NA,NA,72.75,NA,855,"DB","CB",NA,1.57,NA,NA,2.61,NA,198,NA,2001
"3715",NA,NA,NA,NA,74.375,NA,831,"DB","S",NA,1.61,NA,NA,2.65,NA,213,NA,2001
"3716",NA,26,NA,5.29,76.75,NA,818,"OL","T",NA,1.84,7.84,4.49,3.05,NA,311,NA,2001
"3717",33,22,112,4.76,74.5,NA,805,"TE","TE",10.125,1.68,7.38,4.43,2.75,34,266,NA,2001
"3718",35.875,NA,108,4.57,73,NA,806,"WO","WR",9.875,1.56,7.51,4.14,2.65,33,192,NA,2001
"3719",29.75,20,NA,NA,70.625,NA,48037,"WO","WR",9.625,NA,7.27,4.4,NA,34.5,201,72.625,2020
"3720",33.625,NA,128,4.5,71.5,NA,411,"WO","WR",10,1.56,7.32,4.11,2.62,34.5,184,NA,1998
"3721",33.875,14,122,4.47,74.25,NA,47846,"WO","WR",9.5,NA,7.55,4.48,NA,34.5,219,NA,2019
"3722",33.625,NA,120,4.48,73.25,NA,811,"WO","WR",9.875,1.54,7.24,4.07,2.61,36.5,205,NA,2001
"3723",NA,NA,121,4.41,70.125,NA,837,"WO","WR",NA,NA,7.44,4.25,NA,38.5,184,NA,2001
"3724",NA,NA,129,4.51,73.75,NA,872,"WO","WR",NA,1.58,7.06,3.99,2.54,41,209,NA,2001
"3725",NA,NA,134,4.33,71.625,NA,821,"WO","WR",NA,NA,NA,4,NA,45,210,NA,2001
"3726",NA,NA,NA,NA,73.25,NA,958,"QB","QB",NA,1.68,NA,NA,2.79,NA,211,NA,2001
"3727",NA,NA,NA,4.31,69.875,NA,1024,"DB","CB",NA,NA,NA,NA,NA,NA,186,NA,2002
"3728",NA,NA,NA,4.45,72,NA,1025,"RB","HB",NA,NA,NA,NA,NA,NA,254,NA,2002
"3729",NA,20,109,5.11,77.75,NA,938,"OL","T",NA,1.76,7.4,4.3,2.93,33.5,293,NA,2001
"3730",32,12,123,4.42,72.5,NA,6242,"DB","CB",9,1.6,6.87,4.07,2.64,37.5,197,NA,2011
"3731",30.5,12,128,4.42,68.875,NA,7927,"DB","CB",8.125,1.55,6.89,4.1,2.58,40.5,181,NA,2013
"3732",NA,NA,103,4.97,75.125,NA,908,"DL","DI",NA,NA,7.71,4.47,NA,28,285,NA,2001
"3733",32.25,24,123,4.42,74.25,NA,6179,"DB","CB",9.75,1.59,6.93,4.06,2.63,36,211,NA,2011
"3734",NA,19,131,4.42,71.75,NA,1346,"DB","CB",NA,1.53,7.01,NA,2.57,40,186,NA,2003
"3735",NA,NA,NA,5.1,75,NA,906,"DL","DI",NA,NA,NA,NA,NA,NA,283,NA,2001
"3736",32.75,15,120,4.46,74.75,NA,11291,"DB","S",9.5,1.65,7.03,4.25,2.62,34.5,209,NA,2016
"3737",NA,NA,NA,5.13,80,NA,1015,"OL","T",NA,NA,NA,NA,NA,NA,343,NA,2002
"3738",NA,18,124,4.49,71.875,NA,1013,"DB","CB",NA,NA,NA,NA,NA,36,204,NA,2002
"3739",NA,28,NA,4.48,72.875,NA,1019,"DL","ED",NA,NA,NA,NA,NA,NA,266,NA,2002
"3740",NA,27,NA,5.09,76.125,NA,1014,"DL","DI",NA,NA,NA,NA,NA,NA,311,NA,2002
"3741",NA,14,115,4.94,72.625,NA,903,"LB","LB",NA,1.65,7.16,4.31,2.75,36,236,NA,2001
"3742",NA,NA,NA,5.09,78,NA,1022,"DL","DI",NA,NA,NA,NA,NA,NA,320,NA,2002
"3743",NA,27,115,4.55,74.875,NA,1030,"LB","LB",NA,1.62,7.15,4.44,2.57,34,253,NA,2002
"3744",NA,28,111,5.28,74,NA,880,"OL","G",NA,1.79,7.59,4.44,2.92,31.5,290,NA,2001
"3745",NA,32,108,5.24,75.875,NA,927,"OL","G",NA,1.8,7.62,4.6,2.94,31.5,307,NA,2001
"3746",NA,24,103,5.27,73,NA,886,"OL","C",NA,1.84,7.87,4.61,3.02,32.5,316,NA,2001
"3747",NA,23,97,5.28,74.375,NA,926,"OL","G",NA,1.83,8.56,4.7,3,27,312,NA,2001
"3748",33.5,33,NA,4.52,76.375,NA,1029,"DL","ED",9,1.59,NA,NA,2.62,34.5,266,NA,2002
"3749",NA,28,111,4.91,75.875,NA,934,"DL","ED",NA,1.72,7.65,4.4,2.85,33,269,NA,2001
"3750",NA,24,118,4.69,75,NA,1032,"DL","ED",NA,NA,7.69,4.39,NA,31,282,NA,2002
"3751",NA,NA,NA,4.74,78.25,NA,1010,"DL","ED",NA,NA,NA,NA,NA,NA,283,NA,2002
"3752",NA,26,108,5.09,79.125,NA,999,"DL","ED",NA,1.79,7.49,4.64,2.97,29,287,NA,2001
"3753",31.75,NA,108,4.67,75.375,NA,1009,"QB","QB",10.125,1.64,7.05,4.28,2.72,35,223,NA,2002
"3754",NA,NA,112,4.89,76,NA,1011,"QB","QB",NA,1.65,7,4.21,2.84,32,215,NA,2002
"3755",NA,NA,130,4.45,72.5,NA,884,"DB","S",NA,1.55,6.87,3.9,2.55,41.5,222,NA,2001
"3756",NA,13,115,4.53,72.375,NA,1016,"DB","S",NA,1.6,NA,NA,2.61,30.5,219,NA,2002
"3757",NA,NA,NA,NA,71,NA,1031,"DB","S",NA,1.6,NA,NA,2.67,NA,201,NA,2002
"3758",NA,25,107,5.16,75.875,NA,928,"OL","C",NA,1.74,8.08,4.72,2.88,35,305,NA,2001
"3759",35,NA,106,4.99,74.125,NA,876,"TE","TE",10.625,1.71,7.49,4.26,2.82,30,275,NA,2001
"3760",34.25,NA,109,4.96,77.5,NA,887,"TE","TE",10.75,1.75,7.3,4.4,2.8,35.5,256,NA,2001
"3761",NA,7,113,4.84,76.375,NA,981,"TE","TE",NA,1.71,7.04,4.25,2.81,32.5,247,NA,2001
"3762",NA,NA,NA,4.64,77,NA,1021,"TE","TE",NA,NA,NA,NA,NA,NA,255,NA,2002
"3763",NA,NA,118,4.64,75.125,NA,1028,"TE","TE",NA,NA,NA,NA,NA,36,248,NA,2002
"3764",NA,NA,NA,4.76,76.125,NA,916,"WO","TE",NA,NA,NA,NA,NA,NA,242,NA,2001
"3765",33.875,NA,124,4.5,76.125,NA,27418,"WO","WR",10.875,NA,NA,NA,NA,34.5,214,NA,2019
"3766",NA,NA,128,4.38,74.75,NA,1027,"WO","WR",NA,1.5,6.86,4.05,2.51,39.5,210,NA,2002
"3767",32.25,NA,126,4.42,72,NA,913,"WO","WR",9.25,1.54,6.56,3.73,2.57,43.5,199,NA,2001
"3768",NA,NA,NA,4.22,72,NA,1020,"WO","WR",NA,NA,NA,NA,NA,NA,197,NA,2002
"3769",NA,NA,NA,4.49,75,NA,1026,"WO","WR",NA,NA,NA,NA,NA,NA,197,NA,2002
"3770",NA,NA,102,4.93,73.75,NA,1049,"DL","DI",NA,1.7,NA,4.36,2.83,30,305,NA,2002
"3771",34,NA,130,4.5,76.875,NA,50126,"LB","ED",10.375,1.56,NA,NA,2.6,36,250,NA,2018
"3772",NA,20,119,4.57,72.625,NA,1041,"RB","HB",NA,1.62,6.82,4.16,2.69,35.5,222,NA,2002
"3773",NA,NA,112,5.24,74.5,NA,1039,"QB","QB",NA,NA,7.12,4.09,NA,33.5,219,NA,2002
"3774",NA,16,119,4.55,72.625,NA,1088,"RB","HB",NA,1.61,NA,NA,2.59,34,214,NA,2002
"3775",31.75,NA,NA,NA,75.875,NA,1085,"QB","QB",9.5,1.57,NA,NA,2.65,NA,221,NA,2002
"3776",NA,NA,NA,4.42,70.875,NA,1058,"RB","HB",NA,NA,NA,NA,NA,NA,204,NA,2002
"3777",NA,NA,NA,4.75,77,NA,1042,"DL","ED",NA,NA,NA,NA,NA,NA,265,NA,2002
"3778",32.625,28,120,4.56,71.75,NA,1099,"DB","LB",9,NA,6.62,3.87,NA,38.5,209,NA,2002
"3779",NA,20,114,4.62,75,NA,1078,"LB","LB",NA,1.61,6.75,4.25,2.71,32.5,244,NA,2002
"3780",NA,23,105,4.97,75.375,NA,1093,"OL","G",NA,1.7,7.36,4.51,2.85,33.5,300,NA,2002
"3781",NA,32,99,5.46,74.75,NA,1081,"OL","C",NA,1.9,7.51,4.6,3.05,27,300,NA,2002
"3782",NA,21,119,4.42,69.125,NA,4438,"DB","CB",NA,1.53,7.41,4.28,2.58,32.5,190,NA,2008
"3783",NA,19,125,4.46,74.375,NA,1052,"DB","S",NA,1.49,6.78,3.93,2.53,38.5,222,NA,2002
"3784",32.75,NA,134,4.47,72.5,NA,51334,"DB","S",10.5,1.58,NA,NA,2.64,41.5,217,NA,2018
"3785",31.25,11,124,4.42,71.25,NA,8185,"DB","CB",9,1.54,NA,NA,2.56,37,189,NA,2013
"3786",NA,25,122,4.68,73.5,NA,1079,"LB","LB",NA,1.67,7.09,4.21,2.75,38,231,NA,2002
"3787",34,23,121,4.68,75.375,NA,8661,"DL","ED",10,1.64,7.48,4.47,2.72,35,251,NA,2014
"3788",33.25,NA,106,4.65,72.25,NA,5639,"LB","LB",9.5,1.65,7.16,4.43,2.74,31.5,245,NA,2010
"3789",NA,13,126,4.5,75.125,NA,1064,"DB","S",NA,1.56,6.51,3.92,2.59,39.5,208,NA,2002
"3790",NA,NA,NA,4.74,75,NA,1105,"DL","ED",NA,NA,NA,NA,NA,NA,260,NA,2002
"3791",NA,12,120,4.59,73.125,NA,1048,"DB","S",NA,1.66,NA,NA,2.7,33.5,220,NA,2002
"3792",NA,26,121,4.81,74.125,NA,1092,"LB","LB",NA,1.67,7,4.12,2.8,35,257,NA,2002
"3793",NA,16,122,4.6,73.125,NA,1065,"DB","S",NA,1.55,6.96,4.14,2.62,36.5,211,NA,2002
"3794",NA,NA,NA,NA,72.625,NA,1101,"DB","CB",NA,1.56,NA,NA,2.61,NA,211,NA,2002
"3795",34,33,96,5.09,77,NA,4925,"OL","T",9.5,1.85,7.53,4.69,3.05,24,309,NA,2009
"3796",NA,23,94,5.61,77,NA,998,"OL","G",NA,1.91,NA,NA,3.15,32.5,328,NA,2001
"3797",NA,25,NA,5.11,76.625,NA,2417,"OL","C",NA,NA,NA,NA,NA,NA,300,NA,2005
"3798",32.125,20,103,5.1,72.875,NA,46752,"OL","C",9.75,1.76,NA,NA,NA,29.5,302,77.5,2020
"3799",NA,28,NA,5.31,75.5,NA,1096,"OL","G",NA,NA,NA,NA,NA,NA,318,NA,2002
"3800",NA,NA,NA,4.77,79,NA,1035,"TE","TE",NA,NA,NA,NA,NA,NA,265,NA,2002
"3801",34,18,117,4.6,76.25,NA,1062,"TE","TE",10.25,1.63,6.9,4.18,2.72,38,251,NA,2002
"3802",NA,NA,NA,NA,77,NA,1074,"TE","TE",NA,NA,NA,NA,NA,34.5,263,NA,2002
"3803",NA,18,112,4.81,75.125,NA,1091,"TE","TE",NA,1.67,6.95,NA,2.8,35,258,NA,2002
"3804",NA,21,110,4.75,76.375,NA,1104,"TE","TE",NA,1.67,7.34,4.29,2.77,29,255,NA,2002
"3805",NA,NA,NA,NA,79.875,NA,1036,"OL","T",NA,1.83,NA,NA,3.02,NA,313,NA,2002
"3806",32.25,11,124,4.5,73.625,NA,61570,"WO","WR",9.25,NA,NA,NA,NA,34.5,198,76.625,2020
"3807",NA,NA,121,4.57,73.25,NA,1070,"WO","WR",NA,1.62,NA,NA,2.69,37,188,NA,2002
"3808",NA,NA,126,4.32,71.875,NA,1053,"WO","WR",NA,1.52,6.68,3.93,2.53,39,190,NA,2002
"3809",NA,NA,123,4.42,73,NA,1054,"WO","WR",NA,NA,6.77,4.1,NA,39.5,194,NA,2002
"3810",NA,NA,130,4.53,71.75,NA,1055,"WO","WR",NA,NA,7,4.1,NA,41.5,194,NA,2002
"3811",NA,NA,NA,4.56,73.125,NA,1040,"WO","WR",NA,NA,6.87,4.06,NA,NA,193,NA,2002
"3812",NA,NA,NA,4.36,71.375,NA,1090,"WO","WR",NA,1.63,NA,NA,2.56,NA,185,NA,2002
"3813",NA,NA,NA,4.54,70.25,NA,1043,"WO","WR",NA,NA,NA,NA,NA,NA,210,NA,2002
"3814",31.25,NA,111,4.82,73.875,NA,1109,"QB","QB",9.875,1.69,7.35,4.26,2.78,33.5,235,NA,2002
"3815",NA,25,115,4.93,75.625,NA,1200,"DL","ED",NA,1.73,7.09,4.23,2.85,34,257,NA,2002
"3816",NA,22,104,5.08,76.5,NA,1254,"OL","G",NA,1.74,7.85,4.64,2.91,29.5,303,NA,2002
"3817",34.375,NA,NA,NA,74.125,NA,1169,"QB","QB",10.75,1.68,NA,NA,2.83,NA,223,NA,2002
"3818",32.625,22,119,4.74,72.625,NA,1138,"RB","FB",9.125,1.62,7.4,4.35,2.69,34,242,NA,2002
"3819",NA,NA,NA,NA,74.125,NA,1271,"QB","QB",NA,1.69,NA,NA,2.83,NA,226,NA,2002
"3820",NA,32,96,5.26,75.125,NA,1284,"OL","G",NA,1.78,7.84,4.64,3,25.5,293,NA,2002
"3821",NA,24,108,5.09,76.75,NA,1208,"OL","G",NA,1.8,7.34,4.49,2.96,29.5,293,NA,2002
"3822",NA,10,NA,4.42,71.875,NA,3784,"DB","CB",NA,NA,NA,NA,NA,NA,195,NA,2007
"3823",31.375,NA,122,4.42,70,NA,11773,"DB","CB",9.25,1.52,NA,NA,2.56,36,186,NA,2017
"3824",NA,33,103,5.22,75.875,NA,1201,"OL","C",NA,1.8,7.56,4.6,2.99,28,305,NA,2002
"3825",31.75,14,126,4.42,72,NA,25891,"DB","CB",9.625,NA,NA,NA,NA,41.5,195,NA,2019
"3826",31.25,15,129,4.42,73.125,NA,55586,"DB","CB",9,NA,NA,NA,NA,34.5,195,75.625,2020
"3827",29.375,17,NA,4.42,69.25,NA,55634,"DB","CB",8.75,NA,NA,NA,NA,NA,185,71.25,2020
"3828",32.75,NA,122,4.48,73.375,NA,344,"DB","S",10,1.57,7.42,4.25,2.6,33.5,211,NA,1998
"3829",32.75,19,128,4.51,73.25,NA,11868,"DB","S",9.625,1.59,NA,NA,2.61,37,214,NA,2017
"3830",NA,12,123,4.69,75,NA,4292,"DB","WR",NA,1.65,6.78,4.2,2.73,37,214,NA,2002
"3831",31.375,24,106,4.67,69.375,NA,8906,"RB","HB",8.5,1.6,NA,NA,2.65,29,212,NA,2014
"3832",32.75,17,121,4.63,73.875,NA,55856,"DB","S",9.5,NA,7.07,4.37,NA,33.5,212,NA,2019
"3833",31.375,15,121,4.63,70.125,NA,45719,"RB","HB",9.25,NA,NA,NA,NA,28.5,222,NA,2019
"3834",NA,12,118,4.58,72.875,NA,1152,"DB","CB",NA,1.54,6.65,3.97,2.63,35.5,196,NA,2002
"3835",NA,18,NA,4.52,72,NA,1166,"DB","S",NA,NA,NA,NA,NA,NA,209,NA,2002
"3836",NA,NA,109,4.87,75.125,NA,1124,"DL","DI",NA,1.7,7.52,4.25,2.79,31,272,NA,2002
"3837",NA,NA,NA,4.57,73,NA,1131,"RB","HB",NA,NA,NA,NA,NA,NA,248,NA,2002
"3838",NA,20,114,4.88,75.125,NA,1196,"DL","ED",NA,1.73,7.4,4.36,2.86,31.5,268,NA,2002
"3839",NA,20,122,4.64,77.5,NA,1137,"LB","LB",NA,1.57,7.09,4.21,2.65,42,248,NA,2002
"3840",NA,26,117,4.62,73.875,NA,1107,"LB","LB",NA,1.54,6.93,4.09,2.63,35.5,236,NA,2002
"3841",NA,19,120,4.83,73.875,NA,1112,"LB","LB",NA,1.68,6.56,4.09,2.79,35.5,236,NA,2002
"3842",NA,NA,NA,NA,73,NA,1106,"DB","CB",NA,1.62,NA,NA,2.65,NA,207,NA,2002
"3843",NA,NA,NA,NA,72.875,NA,1115,"DB","CB",NA,1.54,NA,NA,2.61,NA,195,NA,2002
"3844",NA,NA,127,4.66,74,NA,1128,"DB","S",NA,1.61,NA,NA,2.69,36.5,199,NA,2002
"3845",NA,18,115,4.66,73.125,NA,1149,"DB","S",NA,1.62,NA,NA,2.7,31.5,214,NA,2002
"3846",NA,NA,NA,5.13,75.25,NA,1146,"OL","C",NA,1.8,NA,NA,2.95,NA,318,NA,2002
"3847",NA,26,NA,5.31,75.875,NA,1185,"OL","G",NA,NA,NA,NA,NA,28,317,NA,2002
"3848",NA,18,112,4.88,75,NA,1114,"TE","TE",NA,1.68,7.58,4.28,2.78,29.5,247,NA,2002
"3849",NA,21,117,4.77,75,NA,1133,"TE","TE",NA,NA,NA,NA,NA,38.5,265,NA,2002
"3850",NA,14,114,4.97,76.625,NA,1151,"TE","TE",NA,1.63,7.37,4.27,2.8,31,253,NA,2002
"3851",33.5,NA,NA,NA,74.5,NA,1157,"TE","TE",9.75,1.65,NA,NA,2.72,NA,251,NA,2002
"3852",33.5,NA,NA,NA,77.5,NA,2911,"TE","TE",9.25,1.61,NA,NA,2.74,NA,255,NA,2002
"3853",31.375,19,124,4.51,73,NA,38079,"WO","WR",9.375,NA,NA,NA,NA,34.5,199,NA,2018
"3854",34.25,NA,116,4.44,72.875,NA,5022,"WO","WR",9.75,1.64,NA,4.4,2.66,34.5,210,NA,2009
"3855",NA,NA,126,4.56,72,NA,1210,"WO","WR",NA,NA,6.82,4.13,NA,40.5,217,NA,2002
"3856",NA,21,126,4.66,73.375,NA,1241,"RB","HB",NA,1.6,7,4.13,2.69,41.5,226,NA,2002
"3857",NA,22,112,4.51,71.375,NA,2006,"RB","HB",NA,1.55,NA,4.12,2.6,34.5,215,NA,2004
"3858",32.25,22,114,4.71,74.125,NA,7155,"LB","LB",9.25,1.75,7.18,4.43,2.83,32.5,237,NA,2012
"3859",NA,22,111,4.68,71.5,NA,4714,"RB","HB",NA,1.6,NA,NA,2.71,28,226,NA,2008
"3860",NA,19,NA,4.64,70,NA,1253,"RB","HB",NA,NA,NA,NA,NA,NA,200,NA,2002
"3861",34,NA,119,4.79,76.75,NA,48500,"DL","ED",9.625,NA,7.44,4.41,NA,35,254,NA,2019
"3862",34,22,113,4.78,77.375,NA,8009,"DL","ED",9.875,1.65,6.91,4.44,2.76,33,255,NA,2013
"3863",31.5,13,122,4.42,71.5,NA,7121,"WO","WR",9.25,1.58,6.85,4.13,2.63,39.5,188,NA,2012
"3864",NA,23,119,4.53,71.375,NA,1061,"RB","HB",NA,1.56,NA,NA,2.62,38.5,208,NA,2002
"3865",NA,NA,NA,4.45,71.375,NA,4527,"RB","HB",NA,NA,NA,NA,NA,NA,215,NA,2008
"3866",32.375,25,117,4.84,71.375,NA,8311,"LB","LB",10.625,1.66,6.91,4.3,2.78,35.5,233,NA,2013
"3867",34,17,112,4.81,75.5,NA,6382,"DL","ED",9.75,1.72,7.21,4.37,2.86,32,257,NA,2011
"3868",30.875,NA,123,4.43,71.375,NA,6196,"WO","WR",9,1.59,NA,NA,2.67,NA,174,NA,2011
"3869",34,19,120,4.67,76.25,NA,7042,"DL","ED",9,1.59,7.19,4.25,2.76,32.5,259,NA,2012
"3870",31.5,12,119,4.66,71.375,NA,7087,"LB","LB",9.25,1.63,7.46,4.28,2.7,33.5,231,NA,2012
"3871",NA,30,110,4.65,71.5,NA,5027,"LB","LB",NA,1.67,6.98,4.2,2.79,NA,229,NA,2009
"3872",NA,25,103,5.02,71.375,NA,1875,"RB","FB",NA,1.76,NA,NA,2.91,30,254,NA,2004
"3873",NA,15,110,4.48,71.5,NA,4384,"WO","WR",NA,1.51,7.15,4.22,2.56,26,209,NA,2008
"3874",34.125,30,NA,4.75,71.375,NA,3071,"DL","ED",9.875,1.65,NA,NA,2.81,NA,257,NA,2006
"3875",32.5,NA,127,4.56,71.375,NA,1422,"QB","QB",10.25,1.62,6.98,4.14,2.67,38,196,NA,2003
"3876",NA,16,NA,4.38,71.5,NA,3630,"DB","CB",NA,NA,NA,NA,NA,NA,204,NA,2007
"3877",NA,23,109,4.84,71.375,NA,2375,"RB","FB",NA,1.72,7.24,4.21,2.87,31,242,NA,2005
"3878",NA,NA,118,4.6,75.5,NA,509,"QB","QB",NA,1.6,7.52,4.29,2.69,35.5,203,NA,1999
"3879",NA,NA,116,4.67,73.375,NA,577,"QB","QB",NA,1.61,7.45,4.35,2.71,31,195,NA,1999
"3880",31,14,119,4.44,71.5,NA,5600,"DB","S",9.75,1.55,6.95,4.36,2.6,37.5,206,NA,2010
"3881",30,12,113,4.58,71.375,NA,5660,"DB","CB",8.375,1.65,NA,NA,2.73,32.5,195,NA,2010
"3882",NA,19,120,4.31,71.375,NA,4414,"DB","S",NA,1.47,NA,4.4,2.49,34,204,NA,2008
"3883",NA,21,121,4.47,71.375,NA,2334,"DB","S",NA,1.65,7.18,4.04,2.69,35,220,NA,2005
"3884",NA,NA,NA,4.48,71.375,NA,3637,"DB","S",NA,1.62,NA,NA,2.68,34.5,198,NA,2007
"3885",NA,NA,NA,4.67,71.5,NA,3897,"DB","CB",NA,1.67,NA,NA,2.73,NA,189,NA,2007
"3886",NA,NA,NA,NA,76.25,NA,1313,"DB","CB",NA,1.59,NA,NA,2.66,NA,192,NA,2002
"3887",NA,18,NA,4.66,71.375,NA,5107,"DB","S",NA,1.72,NA,NA,2.8,NA,187,NA,2009
"3888",NA,21,107,4.96,76.875,NA,1219,"TE","TE",NA,1.75,7.33,4.29,2.92,32.5,256,NA,2002
"3889",NA,15,NA,4.47,71.5,NA,5005,"WO","WR",NA,1.64,NA,NA,2.72,33,194,NA,2009
"3890",30.5,NA,118,4.56,71.375,NA,6570,"WO","WR",8.25,1.62,6.46,3.97,2.68,33.5,182,NA,2011
"3891",32.75,8,120,4.34,71.375,NA,7071,"WO","WR",9,1.57,6.77,4.18,2.62,33.5,188,NA,2012
"3892",30.25,13,113,4.53,69.5,NA,47895,"WO","WR",9.25,1.6,NA,NA,2.65,34.5,190,NA,2018
"3893",32.75,8,112,4.5,73,NA,48202,"WO","WR",9.625,NA,NA,4.19,NA,34.5,203,NA,2018
"3894",NA,NA,NA,4.37,72.5,NA,4419,"WO","WR",NA,1.53,NA,NA,2.53,34.5,214,NA,2008
"3895",31.75,17,123,4.5,73.375,NA,10719,"WO","WR",9.125,1.61,6.65,4.07,2.66,35,201,NA,2016
"3896",NA,NA,NA,4.41,71.5,NA,1771,"WO","WR",NA,NA,NA,NA,NA,NA,198,NA,2004
"3897",34,18,128,4.6,76.625,NA,48606,"DL","ED",10.625,NA,7.53,4.48,NA,38.5,262,NA,2018
"3898",34,29,121,4.73,75.5,NA,5610,"DL","ED",10.125,1.66,6.91,4.18,2.75,37,263,NA,2010
