"","arm_length_in_inches","bench_press_in_reps","broad_jump_in_inches","fourty_time_in_seconds","height_in_inches","left_hand_size_in_inches","player_id","position","projected_position","right_hand_size_in_inches","ten_time_in_seconds","three_cone_in_seconds","twenty_shuttle_in_seconds","twenty_time_in_seconds","vertical_jump_in_inches","weight_in_pounds","wingspan_in_inches","year"
"2750",34,NA,114,NA,78.875,NA,60822,"OL","T",10,NA,8.07,4.5,NA,NA,324,NA,2019
"2751",33.375,30,111,4.93,78,NA,41973,"OL","G",9,1.73,7.26,4.46,NA,30,311,80.375,2020
"2752",NA,34,105,5.26,72.5,NA,4321,"DL","DI",NA,1.85,7.78,4.73,3.06,26.5,309,NA,2008
"2753",NA,35,103,5.09,72.75,NA,4361,"DL","DI",NA,1.74,7.37,4.49,2.94,30.5,304,NA,2008
"2754",NA,33,103,5.29,76.5,NA,4343,"DL","DI",NA,1.8,7.65,4.82,3.05,29,308,NA,2008
"2755",34,21,113,4.97,76.75,NA,7209,"OL","G",NA,1.73,7.4,4.41,2.89,36,298,NA,2012
"2756",NA,26,113,5,74.125,NA,575,"OL","G",NA,1.73,7.52,4.63,2.91,32,281,NA,1999
"2757",33,26,94,5,75.375,NA,11933,"OL","G",9.875,1.73,8.13,4.9,2.91,29,306,NA,2017
"2758",NA,17,NA,4.73,76.25,NA,4346,"DL","DI",NA,NA,NA,NA,NA,NA,276,NA,2008
"2759",35,32,113,4.92,77,NA,8637,"OL","T",10,1.72,7.8,4.86,2.88,28.5,332,NA,2014
"2760",34,NA,93,5.01,78.5,NA,8730,"OL","G",9.625,1.73,7.62,4.57,2.93,24,301,NA,2014
"2761",33,NA,136,4.42,73.75,NA,4360,"WO","WR",8.125,1.55,7.08,4.52,2.57,37.5,199,NA,2008
"2762",34.375,25,112,5.08,76.875,NA,7957,"OL","G",10.625,1.73,7.49,4.45,2.92,29.5,302,NA,2013
"2763",32.5,NA,NA,4.68,75.75,NA,4365,"WO","WR",9.25,NA,NA,NA,NA,NA,224,NA,2008
"2764",32.875,33,109,5.11,76.25,NA,10778,"OL","G",10.375,1.73,7.5,4.65,2.93,33,306,NA,2016
"2765",NA,27,127,4.41,71.875,NA,4357,"DB","S",NA,1.49,NA,NA,2.52,32,207,NA,2008
"2766",33,23,105,4.79,72,NA,4351,"LB","LB",8.75,1.61,7.69,4.56,2.73,24.5,246,NA,2008
"2767",NA,30,120,4.53,75,NA,4366,"LB","ED",NA,1.57,7.31,4.42,2.68,29.5,259,NA,2008
