"","arm_length_in_inches","bench_press_in_reps","broad_jump_in_inches","event_date","fourty_time_in_seconds","height_in_inches","left_hand_size_in_inches","player_id","position","projected_position","right_hand_size_in_inches","ten_time_in_seconds","three_cone_in_seconds","twenty_shuttle_in_seconds","twenty_time_in_seconds","venue_franchise_id","vertical_jump_in_inches","weight_in_pounds","wingspan_in_inches","year"
"2656",34.5,25,115,"2021-03-09",5.01,76.375,NA,56428,"ED","ED",9.75,1.75,7.25,4.5,2.98,NA,31,270,82.25,2021
"2657",NA,36,104,"2021-03-22",5.33,75.375,NA,37109,"G","G",NA,1.86,7.68,4.93,3.07,NA,29,313,NA,2021
"2658",34,NA,112,"2018-03-20",NA,76.875,NA,48400,"ED","ED",10,NA,7.62,4.59,NA,NA,NA,283,NA,2018
"2659",33.125,16,NA,"2018-03-20",4.95,77.375,NA,48457,"ED","ED",10,1.69,NA,NA,2.87,NA,NA,270,NA,2018
"2660",NA,24,127,"2018-03-20",4.69,75.25,NA,48475,"ED","ED",NA,1.57,7.2,4.34,2.71,NA,NA,265,NA,2018
"2661",34,NA,NA,"2018-03-17",NA,76.375,NA,48526,"ED","ED",9.875,NA,NA,4.34,NA,NA,NA,269,NA,2018
"2662",34.75,25,113,"2018-03-27",4.87,75.625,NA,48557,"ED","ED",10,1.76,NA,NA,2.79,NA,33,257,NA,2018
"2663",33.75,23,NA,"2018-03-19",NA,76.25,NA,48731,"ED","ED",9.875,NA,NA,NA,NA,NA,NA,275,NA,2018
"2664",33.25,24,132,NA,4.46,72.375,NA,7050,"LB","LB",9.25,1.57,7.1,4.28,2.64,NA,39.5,241,NA,2012
"2665",NA,20,130,NA,4.53,74.25,NA,7147,"LB","LB",NA,1.61,6.87,4,2.5,NA,42,234,NA,2012
"2666",33.875,24,110,NA,4.81,74.5,NA,7335,"LB","LB",9.625,1.67,7.06,4.5,2.87,NA,30,250,NA,2012
"2667",NA,NA,122,NA,NA,69.75,NA,4363,"WR","WR",NA,NA,6.82,4.19,NA,NA,34.5,169,NA,2008
"2668",31,25,119,NA,4.71,73,NA,7317,"LB","LB",8.75,1.56,7.31,4.33,2.67,NA,32.5,250,NA,2012
"2669",31.875,11,NA,NA,NA,69.5,NA,4372,"WR","WR",9.375,NA,6.96,4.15,NA,NA,30.5,182,NA,2008
"2670",NA,NA,130,NA,4.48,69.25,NA,4661,"WR","WR",NA,1.47,NA,NA,2.56,NA,37,201,NA,2008
"2671",NA,19,120,NA,4.73,74.75,NA,6419,"LB","LB",NA,1.69,6.93,4.32,2.72,NA,31.5,234,NA,2011
"2672",NA,22,117,NA,4.48,71.5,NA,7213,"HB","HB",NA,1.56,7.04,4.2,2.58,NA,34,223,NA,2012
"2673",NA,16,135,NA,4.46,70.375,NA,7233,"HB","HB",NA,1.57,7.07,4.36,2.54,NA,40.5,192,NA,2012
"2674",NA,NA,123,NA,4.57,70.5,NA,6420,"HB","HB",NA,1.57,7.18,4.4,2.68,NA,36,208,NA,2011
"2675",NA,36,105,NA,4.99,77,NA,7078,"G","G",NA,1.79,7.37,4.53,2.79,NA,32,346,NA,2012
"2676",NA,29,103,NA,5.25,74.75,NA,7098,"G","G",NA,1.78,7.75,4.78,3.03,NA,28.5,300,NA,2012
"2677",NA,24,113,NA,5.42,79,NA,7689,"G","G",NA,1.81,7.54,4.63,3.02,NA,30,306,NA,2012
"2678",NA,25,108,NA,4.87,75.375,NA,6852,"ED","ED",NA,1.65,NA,NA,2.75,NA,34,261,NA,2011
"2679",NA,25,110,NA,5.03,76.5,NA,7178,"DI","DI",NA,1.73,7.33,4.73,2.82,NA,34.5,312,NA,2012
"2680",NA,23,102,NA,NA,76.125,NA,7659,"DI","DI",NA,NA,NA,NA,NA,NA,23,290,NA,2012
"2681",NA,31,96,NA,4.98,74,NA,7212,"DI","DI",NA,1.72,7.9,4.49,2.96,NA,30,328,NA,2012
"2682",NA,16,134,NA,4.41,73.25,NA,7142,"CB","CB",NA,1.58,6.99,4.15,2.6,NA,43,193,NA,2012
"2683",33,25,118,NA,4.76,75.375,NA,7216,"DI","DI",9,1.71,7.16,4.4,2.75,NA,34.5,284,NA,2012
"2684",NA,18,119,NA,4.45,70.625,NA,7173,"S","S",NA,1.57,6.9,4.04,2.54,NA,32.5,188,NA,2012
"2685",NA,24,100,NA,5.33,75.5,NA,6837,"DI","DI",NA,1.81,7.97,4.71,3.06,NA,26.5,313,NA,2011
"2686",33.625,NA,117,"2018-03-19",NA,74.125,NA,50084,"ED","ED",9,NA,7.05,4.27,NA,NA,NA,251,NA,2018
"2687",34.625,16,NA,"2018-03-18",NA,76.75,NA,50120,"ED","ED",10.25,NA,6.95,NA,NA,NA,NA,251,NA,2018
"2688",NA,12,130,NA,4.48,72,NA,7164,"CB","CB",NA,1.58,7.02,4.14,2.59,NA,42,190,NA,2012
"2689",NA,16,120,NA,4.51,70.25,NA,7166,"CB","CB",NA,1.49,6.91,4.29,2.57,NA,35,197,NA,2012
"2690",NA,15,122,NA,4.4,71.25,NA,7184,"CB","CB",NA,1.53,7.26,4.31,2.49,NA,32.5,191,NA,2012
"2691",NA,14,125,NA,4.52,70.125,NA,7198,"CB","CB",NA,1.56,7.4,4.46,2.59,NA,39.5,189,NA,2012
"2692",30.125,17,123,NA,4.35,71.875,NA,6625,"CB","CB",10,1.51,6.74,4.15,2.49,NA,32,206,NA,2011
"2693",NA,26,103,NA,5.17,75.625,NA,6499,"C","C",NA,1.83,7.19,4.42,3.03,NA,31.5,300,NA,2011
"2694",32.125,14,NA,"2021-03-16",NA,71,NA,62973,"P","P",9.375,NA,NA,NA,NA,NA,NA,263,77.75,2021
"2695",33.375,NA,120,"2021-03-22",4.62,74.5,NA,42194,"WR","WR",9.75,1.64,NA,4.32,2.56,NA,37.5,206,78.875,2021
"2696",30,17,118,"2021-03-24",4.61,69.625,NA,56064,"CB","CB",8.625,NA,7.08,4.23,NA,NA,35.5,185,71.125,2021
"2697",30.75,18,108,"2021-03-22",4.7,70.375,NA,57308,"HB","HB",9.125,1.73,6.96,4.47,2.68,NA,30,211,73.875,2021
"2698",30,NA,NA,"2021-03-12",NA,71,NA,58326,"LS","LS",8.875,NA,NA,NA,NA,NA,28.5,230,73.75,2021
"2699",31.25,15,119,"2021-03-22",4.43,71.5,NA,60692,"S","S",9.5,1.6,7.05,4.39,2.46,NA,35.5,207,75.25,2021
"2700",30.75,23,132,"2021-03-31",4.38,72.325,NA,84270,"WR","WR",9.625,NA,7,3.98,NA,NA,41,201,74.875,2021
"2701",30.875,NA,123,NA,4.39,71.375,NA,6196,"WR","WR",9,1.58,6.85,4.3,2.53,NA,35,174,NA,2011
"2702",33.5,NA,115,"2018-04-04",4.88,76.875,NA,50201,"ED","ED",10,1.75,NA,NA,2.76,NA,NA,238,NA,2018
"2703",NA,24,120,NA,4.51,67.375,NA,7511,"HB","HB",NA,1.55,6.61,4.13,2.49,NA,35.5,205,NA,2012
"2704",32,22,106,NA,5.35,73.5,NA,7376,"DI","DI",9.375,1.76,7.63,4.45,3.04,NA,30,298,NA,2012
"2705",33.25,NA,NA,"2018-03-27",4.56,74.375,NA,50244,"ED","ED",10,1.59,NA,NA,2.68,NA,NA,235,NA,2018
"2706",30.5,NA,120,NA,4.52,71.25,NA,5608,"WR","WR",9.625,1.6,6.92,4.22,2.65,NA,36.5,193,NA,2010
"2707",33.5,NA,118,"2018-03-09",4.78,73.375,NA,50287,"ED","ED",10.5,1.73,7.25,4.72,2.75,NA,31.5,249,NA,2018
"2708",NA,18,122,NA,4.46,70,NA,7624,"CB","CB",NA,1.6,6.93,4.29,2.62,NA,35,180,NA,2012
"2709",34,NA,126,NA,NA,70.875,NA,5606,"WR","WR",8.75,NA,NA,NA,NA,NA,39,186,NA,2010
"2710",NA,13,123,NA,4.41,70.875,NA,5613,"WR","WR",NA,1.53,6.74,4.19,2.5,NA,34.5,185,NA,2010
"2711",NA,NA,NA,NA,4.48,70.125,NA,5718,"WR","WR",NA,1.5,NA,NA,2.56,NA,NA,186,NA,2010
"2712",33.375,NA,120,NA,4.34,70,NA,5729,"WR","WR",10,1.56,NA,4.22,2.59,NA,37,188,NA,2010
"2713",NA,18,115,NA,4.47,71.5,NA,5005,"WR","WR",NA,1.49,6.96,4.21,2.59,NA,NA,194,NA,2009
"2714",29,20,121,NA,NA,71.125,NA,4945,"WR","WR",9,NA,NA,NA,NA,NA,37.5,192,NA,2009
"2715",33.125,20,110,"2021-03-10",4.91,75.25,NA,43822,"LB","LB",9.625,1.72,7,4.47,2.89,NA,31.5,240,79.625,2021
"2716",NA,NA,120,NA,4.58,70.875,NA,5358,"WR","WR",NA,1.57,6.91,4.18,2.63,NA,NA,179,NA,2009
"2717",33.125,NA,NA,NA,NA,70.375,NA,5014,"WR","WR",10.25,NA,NA,4.23,NA,NA,NA,182,NA,2009
"2718",30.375,13,123,"2021-03-12",4.42,69,NA,55677,"CB","CB",9.5,1.58,7.08,4.27,2.55,NA,38,185,75.5,2021
"2719",32.625,NA,NA,NA,4.48,71,NA,7984,"CB","S",9.125,NA,NA,4.19,NA,NA,NA,210,NA,2013
"2720",NA,19,121,NA,4.59,75.125,NA,7605,"TE","TE",NA,1.67,7.41,4.25,2.73,NA,36,243,NA,2012
"2721",31.25,8,119,NA,4.6,74.875,NA,7516,"WR","WR",9.375,1.6,7.1,4.27,2.7,NA,35,210,NA,2012
"2722",NA,35,110,NA,5.18,75.625,NA,7435,"C","C",NA,1.79,7.73,4.66,2.94,NA,31.5,303,NA,2012
"2723",NA,16,122,NA,4.48,71.25,NA,7481,"WR","WR",NA,1.58,6.8,4.25,2.5,NA,36,186,NA,2012
"2724",34,22,100,"2021-03-12",5.35,74.5,NA,36900,"DI","DI",10.625,1.83,8.72,5.12,3.08,NA,24.5,280,82.625,2021
"2725",33.875,23,114,NA,4.83,73.5,NA,7727,"ED","ED",9.25,1.9,7.39,4.4,2.88,NA,31,254,NA,2012
"2726",NA,17,126,NA,4.49,67.875,NA,7330,"WR","WR",NA,1.57,7.16,4.4,2.66,NA,38,175,NA,2012
"2727",NA,13,113,NA,4.52,67.25,NA,7530,"WR","WR",NA,1.54,6.8,4.2,2.56,NA,30,171,NA,2012
"2728",29.5,NA,NA,NA,4.38,71.25,NA,3625,"WR","WR",8.75,1.47,NA,NA,2.48,NA,NA,178,NA,2007
"2729",32.375,NA,NA,NA,NA,75.25,NA,11863,"ED","ED",9.125,NA,NA,4.21,NA,NA,NA,246,NA,2017
"2730",33,19,123,NA,4.41,74,NA,3785,"WR","WR",9.625,1.5,6.65,4.13,2.52,NA,37.5,229,NA,2007
"2731",31.625,12,128,NA,4.38,72.625,NA,3845,"WR","WR",9.25,1.47,NA,4.09,2.48,NA,40,200,NA,2007
"2732",29.375,12,123,"2021-03-12",4.58,71,NA,55675,"CB","CB",9.375,1.59,7.68,4.5,2.66,NA,33.5,192,72.25,2021
"2733",32.875,25,115,"2021-03-12",4.71,74,NA,76830,"ED","ED",9,1.69,NA,4.69,2.79,NA,32,253,79.375,2021
"2734",32.375,NA,110,"2021-03-17",4.85,72,NA,56142,"S","S",9.5,1.56,7.65,4.53,2.81,NA,28.5,197,76.5,2021
"2735",33.5,20,114,"2021-03-17",4.83,76,NA,42495,"ED","ED",9.75,1.57,6.98,4.3,2.88,NA,32,259,82,2021
"2736",32,18,NA,NA,NA,76,NA,11858,"ED","ED",9.875,NA,NA,NA,NA,NA,NA,266,NA,2017
"2737",35.25,NA,126,NA,4.65,76,NA,11756,"ED","ED",10.25,1.57,NA,NA,2.71,NA,NA,272,NA,2017
"2738",32.75,NA,NA,NA,NA,73,NA,11768,"ED","ED",10.125,NA,7.02,4.26,NA,NA,NA,237,NA,2017
"2739",32.125,20,112,NA,4.92,75,NA,11769,"ED","ED",10,1.75,7.12,4.49,2.77,NA,31,259,NA,2017
"2740",32.125,26,105,"2021-03-17",5.3,75,NA,41626,"C","C",10,1.68,7.48,4.46,3,NA,31,303,78.625,2021
"2741",28.5,NA,121,"2021-03-17",4.59,69,NA,47663,"WR","WR",8.25,1.45,6.92,4.16,2.65,NA,35.5,209,69.25,2021
"2742",30.25,15,112,"2021-03-12",4.63,71.625,NA,98689,"HB","HB",9,1.67,7.02,4.47,2.75,NA,31.5,230,75,2021
"2743",31.625,15,128,NA,4.56,75,NA,7666,"QB","QB",9.375,1.56,6.89,4.16,2.64,NA,38.5,221,NA,2012
"2744",31.5,NA,NA,NA,NA,68.875,NA,7893,"CB","S",9.25,NA,6.84,NA,NA,NA,NA,213,NA,2013
"2745",31.5,NA,NA,NA,NA,71.25,NA,7874,"CB","CB",NA,NA,NA,NA,NA,NA,36,186,NA,2013
"2746",31.25,NA,NA,NA,NA,71.25,NA,8185,"CB","CB",9,NA,7.11,NA,NA,NA,NA,189,NA,2013
"2747",33.625,15,122,NA,4.5,75.375,NA,7406,"TE","TE",10.5,1.57,6.65,4.08,2.53,NA,38,238,NA,2012
"2748",NA,20,118,NA,4.46,72.25,NA,7498,"WR","WR",NA,1.58,6.79,4.07,2.61,NA,36.5,206,NA,2012
"2749",NA,20,125,NA,4.31,71.75,NA,7513,"WR","WR",NA,1.5,6.96,4.4,2.51,NA,36.5,198,NA,2012
"2750",31.125,NA,120,NA,4.4,71.125,NA,7793,"CB","CB",9,1.57,NA,NA,2.6,NA,33.5,191,NA,2013
"2751",32,NA,119,NA,NA,71,NA,7931,"CB","CB",9.125,NA,NA,NA,NA,NA,34,193,NA,2013
"2752",28,23,126,NA,4.55,70.5,NA,4988,"HB","HB",9.375,1.57,NA,4.25,2.63,NA,39,227,NA,2009
"2753",31,17,107,NA,4.5,70.375,NA,4976,"HB","HB",9.375,1.52,6.82,4.18,2.59,NA,29,198,NA,2009
"2754",29.75,NA,NA,NA,4.67,70.25,NA,5058,"HB","HB",8.625,1.59,NA,NA,2.68,NA,NA,219,NA,2009
"2755",31.125,NA,NA,NA,NA,69.5,NA,5109,"HB","HB",9.375,NA,NA,4.47,NA,NA,NA,216,NA,2009
"2756",30.5,NA,NA,NA,NA,69.5,NA,5136,"HB","HB",9.375,NA,7.26,4.73,NA,NA,NA,223,NA,2009
"2757",30.25,NA,NA,NA,4.5,69.125,NA,5097,"HB","HB",9.625,1.5,6.66,3.89,2.58,NA,NA,205,NA,2009
"2758",NA,12,NA,NA,4.64,68,NA,5395,"HB","HB",NA,1.6,6.9,4.19,2.62,NA,30,211,NA,2009
"2759",31,13,NA,NA,NA,73.25,NA,4318,"HB","HB",9.75,NA,6.86,4.1,NA,NA,35.5,211,NA,2008
"2760",NA,NA,110,NA,4.57,71.5,NA,4714,"HB","HB",NA,1.62,7.11,4.38,2.67,NA,33.5,226,NA,2008
"2761",NA,18,119,NA,4.45,71.375,NA,4527,"HB","HB",NA,1.51,7.53,4.58,2.53,NA,36,215,NA,2008
"2762",NA,NA,115,NA,4.6,70.75,NA,4493,"HB","HB",NA,1.54,6.71,4.29,2.61,NA,38.5,228,NA,2008
"2763",NA,NA,116,NA,4.55,70.625,NA,4599,"HB","HB",NA,1.55,7.56,4.5,2.62,NA,34,219,NA,2008
"2764",NA,NA,117,NA,4.62,68,NA,4547,"HB","HB",NA,1.51,7.15,4.46,2.62,NA,31,194,NA,2008
"2765",NA,15,NA,NA,4.47,73.125,NA,4378,"HB","HB",NA,1.54,NA,NA,2.57,NA,33.5,217,NA,2008
"2766",NA,NA,NA,NA,4.51,72.375,NA,4453,"HB","HB",NA,1.54,NA,NA,2.58,NA,NA,222,NA,2008
"2767",NA,NA,120,NA,NA,68.625,NA,4692,"HB","HB",NA,NA,7.35,4.48,NA,NA,35.5,216,NA,2008
"2768",NA,NA,NA,NA,NA,72,NA,4703,"HB","HB",NA,NA,7.28,4.45,NA,NA,37,254,NA,2008
"2769",30.25,NA,NA,NA,NA,71.5,NA,4490,"HB","HB",9.375,NA,6.94,4.44,NA,NA,41.5,224,NA,2008
"2770",31.5,NA,123,NA,NA,70.5,NA,4436,"HB","HB",9.75,NA,6.87,4.26,NA,NA,37.5,215,NA,2008
"2771",NA,18,126,NA,4.46,NA,NA,2244,"WR","WR",NA,NA,7.12,4.01,NA,NA,41,NA,NA,2005
"2772",32,13,NA,NA,NA,70.125,NA,4336,"HB","HB",8.25,NA,NA,NA,NA,NA,34.5,207,NA,2008
"2773",NA,NA,NA,NA,4.45,69.125,NA,4403,"HB","HB",NA,1.59,6.74,4.27,2.59,NA,35,197,NA,2008
"2774",30.75,NA,NA,NA,NA,68.875,NA,4516,"HB","HB",9.5,NA,6.91,4.33,NA,NA,32,206,NA,2008
"2775",NA,NA,113,NA,4.65,NA,NA,2204,"WR","WR",NA,NA,7.09,4.01,NA,NA,30,NA,NA,2004
"2776",NA,20,125,NA,4.5,71.25,NA,7377,"HB","HB",NA,1.64,7.34,4.49,2.67,NA,36.5,230,NA,2012
"2777",NA,NA,NA,NA,4.46,68.25,NA,4822,"HB","HB",NA,1.47,NA,4.32,2.54,NA,NA,187,NA,2008
"2778",NA,NA,121,NA,NA,68,NA,4369,"HB","HB",NA,NA,NA,4.17,NA,NA,39.5,199,NA,2008
"2779",31,18,NA,NA,NA,70.375,NA,3844,"HB","HB",9.625,NA,7.26,4.37,NA,NA,NA,232,NA,2007
"2780",NA,NA,NA,NA,4.53,71.25,NA,3764,"HB","HB",NA,1.53,NA,4.42,2.62,NA,NA,220,NA,2007
"2781",NA,NA,NA,NA,4.58,71,NA,4109,"HB","HB",NA,1.56,NA,NA,2.65,NA,NA,207,NA,2007
"2782",30.625,NA,NA,NA,NA,70.375,NA,3687,"HB","HB",9,NA,7.04,4.37,NA,NA,NA,191,NA,2007
"2783",NA,NA,NA,NA,4.61,70.375,NA,3862,"HB","HB",NA,1.58,6.99,4.38,2.65,NA,NA,211,NA,2007
"2784",31.375,NA,NA,NA,4.56,70,NA,4248,"HB","HB",9.25,1.53,NA,NA,2.63,NA,NA,206,NA,2007
"2785",NA,23,100,NA,NA,75.875,NA,7433,"G","G",NA,NA,8.31,4.82,NA,NA,26,303,NA,2012
"2786",NA,21,117,NA,4.9,73.875,NA,7696,"ED","ED",NA,1.61,7.03,4.52,2.77,NA,36.5,248,NA,2012
"2787",NA,24,121,NA,4.53,73.125,NA,7450,"CB","CB",NA,1.59,6.76,4.23,2.71,NA,38,220,NA,2012
"2788",NA,17,119,NA,4.51,72.5,NA,7354,"CB","CB",NA,1.59,6.99,4.4,2.57,NA,32,199,NA,2012
"2789",31,15,120,"2021-03-23",4.5,71,NA,42411,"WR","WR",8.875,1.56,7.12,4.32,2.46,NA,33.5,204,74.125,2021
"2790",33.375,26,123,NA,4.77,72.5,NA,7371,"LB","LB",10,1.66,6.88,4.02,2.75,NA,35.5,237,NA,2012
"2791",29.625,NA,NA,NA,4.41,69.875,NA,3679,"HB","HB",8.125,1.49,NA,NA,2.52,NA,NA,210,NA,2007
"2792",32.375,NA,109,"2019-03-28",5.4,70,NA,26505,"G","G",9.25,1.87,7.9,5.02,3.08,NA,27.5,NA,NA,2019
"2793",31.375,NA,NA,NA,NA,70,NA,11773,"CB","CB",9.25,NA,6.63,NA,NA,NA,NA,186,NA,2017
"2794",29.5,NA,NA,NA,4.39,67.5,NA,3709,"HB","HB",9.125,1.46,NA,NA,2.51,NA,NA,186,NA,2007
"2795",30.875,NA,114,"2020-03-10",4.53,73,NA,50394,"CB","CB",9,NA,NA,NA,NA,NA,34,197,NA,2020
"2796",31.25,15,129,"2020-03-12",4.37,73.125,NA,55586,"CB","CB",9,1.52,7.09,4.27,2.47,NA,34.5,195,NA,2020
"2797",NA,33,104,NA,5.1,77.125,NA,7504,"G","G",NA,1.75,7.63,4.65,2.94,NA,30,308,NA,2012
"2798",32.25,NA,NA,"2020-03-12",4.65,74.5,NA,50532,"CB","CB",9.5,NA,NA,NA,NA,NA,37,208,NA,2020
"2799",30.375,24,128,NA,4.37,70.875,NA,2947,"HB","HB",8.875,NA,NA,NA,NA,NA,40.5,201,NA,2006
"2800",32.5,NA,129,NA,4.45,69,NA,2972,"HB","HB",9,NA,6.57,4.1,NA,NA,34.5,214,NA,2006
"2801",NA,NA,120,NA,4.61,70.75,NA,2399,"HB","HB",NA,NA,7.28,4.5,NA,NA,35,225,NA,2005
"2802",31.25,NA,NA,NA,4.73,70.625,NA,2461,"HB","HB",9,NA,NA,NA,NA,NA,NA,200,NA,2005
"2803",31.75,21,NA,NA,4.62,70.5,NA,2221,"HB","HB",9,NA,7.5,4.3,NA,NA,33,222,NA,2005
"2804",NA,NA,NA,NA,4.66,69.625,NA,2290,"HB","HB",NA,NA,NA,NA,NA,NA,NA,212,NA,2005
"2805",30.5,NA,109,NA,4.58,69.375,NA,2282,"HB","HB",10.125,NA,6.91,4.11,NA,NA,34,210,NA,2005
"2806",NA,NA,120,NA,4.54,69.375,NA,2344,"HB","HB",NA,NA,6.91,4.06,NA,NA,35.5,208,NA,2005
"2807",NA,NA,114,NA,4.46,71.375,NA,2006,"HB","HB",NA,NA,7.02,4.28,NA,NA,37.5,215,NA,2004
"2808",NA,NA,NA,NA,4.43,71,NA,1762,"HB","HB",NA,NA,NA,NA,NA,NA,NA,212,NA,2004
"2809",NA,NA,NA,NA,4.62,70.625,NA,1840,"HB","HB",NA,NA,NA,NA,NA,NA,NA,209,NA,2004
"2810",NA,NA,NA,NA,4.63,70.375,NA,2212,"HB","HB",NA,NA,NA,NA,NA,NA,NA,210,NA,2004
"2811",NA,NA,NA,NA,4.53,69.75,NA,1764,"HB","HB",NA,NA,NA,NA,NA,NA,NA,217,NA,2004
"2812",NA,26,NA,NA,4.7,67.5,NA,2207,"HB","HB",NA,NA,NA,NA,NA,NA,35,193,NA,2004
"2813",NA,NA,NA,NA,4.67,72.125,NA,1849,"HB","HB",NA,NA,NA,NA,NA,NA,NA,223,NA,2004
"2814",29.625,NA,NA,"2020-03-06",NA,72.625,NA,37721,"K","K",9.375,NA,NA,NA,NA,NA,NA,213,72.25,2020
"2815",32,NA,NA,NA,4.68,73,NA,6347,"LB","LB",9.5,1.55,7.01,4.18,2.71,NA,33,241,NA,2011
"2816",35,29,110,NA,5.03,73.25,NA,5755,"LB","LB",11.125,1.57,7.49,4.65,2.81,NA,34,260,NA,2010
"2817",NA,NA,NA,NA,4.78,73.625,NA,5020,"LB","LB",NA,1.61,7.31,4.28,2.78,NA,32.5,243,NA,2009
"2818",33,20,NA,NA,NA,72,NA,5041,"LB","LB",10,NA,7.02,4.37,NA,NA,31,232,NA,2009
"2819",31.75,NA,106,NA,4.61,73.375,NA,5491,"LB","LB",9.625,1.56,7.3,4.27,2.65,NA,32.5,243,NA,2009
"2820",NA,NA,117,NA,4.7,73.125,NA,4461,"LB","LB",NA,1.59,7.1,4.4,2.67,NA,35,223,NA,2008
"2821",NA,19,120,NA,4.6,74.5,NA,2962,"LB","LB",NA,NA,NA,NA,NA,NA,38,242,NA,2006
"2822",NA,NA,125,NA,NA,74.125,NA,3016,"LB","LB",NA,NA,NA,NA,NA,NA,42,263,NA,2006
"2823",31.625,NA,122,"2018-03-29",4.69,73.875,NA,44485,"LB","LB",10.125,1.55,6.96,4.26,2.67,NA,NA,218,NA,2018
"2824",33.5,NA,NA,"2018-03-20",NA,74.625,NA,50089,"LB","LB",9,NA,6.94,NA,NA,NA,NA,252,NA,2018
"2825",31.25,22,115,NA,NA,71.5,NA,11903,"LB","LB",9.375,NA,NA,NA,NA,NA,38,238,NA,2017
"2826",33.5,23,129,NA,4.62,73,NA,11776,"LB","LB",9.75,1.57,7.39,4.29,2.64,NA,38.5,238,NA,2017
"2827",32,NA,NA,NA,4.64,72.5,NA,11830,"LB","LB",9.25,1.62,NA,NA,2.67,NA,NA,232,NA,2017
"2828",NA,NA,117,NA,4.68,72.375,NA,11879,"LB","LB",NA,1.64,7.35,4.38,2.68,NA,35.5,230,NA,2017
"2829",31.375,20,NA,NA,4.56,72,NA,11910,"LB","LB",9.625,1.63,7.28,4.53,2.65,NA,32.5,231,NA,2017
"2830",32.5,NA,NA,NA,4.78,75.25,NA,11923,"LB","LB",9.5,1.62,7.28,4.33,2.71,NA,NA,240,NA,2017
"2831",31.25,NA,NA,NA,4.58,73.875,NA,11940,"LB","LB",9.25,1.55,7.14,4.37,2.66,NA,33.5,218,NA,2017
"2832",NA,19,NA,NA,NA,73.25,NA,11950,"LB","LB",NA,NA,7.08,4.3,NA,NA,NA,228,NA,2017
"2833",33.5,14,NA,NA,NA,76.875,NA,7151,"ED","DI",10.25,NA,NA,NA,NA,NA,NA,274,NA,2012
"2834",NA,NA,119,NA,4.58,NA,NA,1179,"WR","WR",NA,1.56,7.08,4.17,2.63,NA,32.5,NA,NA,2002
"2835",28.75,19,117,"2021-03-23",4.58,66.5,NA,77745,"HB","HB",9.25,1.58,7.03,4.35,2.45,NA,30,195,68.75,2021
"2836",33.375,NA,NA,"2021-03-23",NA,74.25,NA,55015,"ED","ED",9.625,NA,NA,NA,NA,NA,NA,249,81,2021
"2837",33.5,NA,NA,NA,NA,75.75,NA,8747,"DI","DI",9.625,NA,NA,4.65,NA,NA,NA,322,NA,2014
"2838",35.375,15,NA,NA,4.76,76.25,NA,11985,"LB","LB",10.375,1.69,7.09,4.59,2.63,NA,33,217,NA,2017
"2839",32,NA,NA,NA,4.74,71.75,NA,50712,"LB","LB",10,1.66,7.3,NA,2.71,NA,NA,232,NA,2017
"2840",31.25,29,NA,NA,4.73,73.625,NA,12062,"LB","LB",9.875,1.6,7,4.18,2.72,NA,NA,226,NA,2017
"2841",33.625,NA,124,NA,NA,73,NA,10670,"LB","LB",10.25,NA,NA,NA,NA,NA,40,245,NA,2016
"2842",32.375,16,NA,NA,4.39,72.875,NA,10686,"LB","LB",9.25,1.52,7.13,4.26,2.52,NA,35.5,222,NA,2016
"2843",32.125,NA,NA,NA,4.66,72,NA,10687,"LB","LB",9.5,1.58,6.94,4.24,2.68,NA,30.5,226,NA,2016
"2844",32.375,15,NA,NA,4.65,74.375,NA,10721,"LB","LB",10.25,1.58,NA,NA,2.7,NA,NA,239,NA,2016
"2845",33.875,NA,NA,NA,NA,75.75,NA,10736,"LB","LB",10.25,NA,7.21,4.35,NA,NA,NA,254,NA,2016
"2846",33.25,NA,109,NA,NA,72.625,NA,10743,"LB","LB",10,NA,NA,4.38,NA,NA,NA,242,NA,2016
"2847",33.625,NA,NA,NA,NA,75.625,NA,10749,"LB","LB",9.625,NA,7.07,4.5,NA,NA,NA,232,NA,2016
"2848",NA,28,101,NA,5.4,74.875,NA,7711,"C","C",NA,1.79,7.85,4.81,3.02,NA,31,324,NA,2012
"2849",31.625,NA,NA,NA,NA,73.625,NA,10765,"LB","LB",10.875,NA,NA,NA,NA,NA,34,237,NA,2016
"2850",32.75,16,125,"2019-03-25",4.75,71,NA,15301,"LB","LB",9.125,1.6,7.15,4.34,2.66,NA,38.5,NA,NA,2019
"2851",32.375,NA,NA,NA,4.68,73.125,NA,10817,"LB","LB",9.25,1.59,NA,NA,2.7,NA,NA,235,NA,2016
"2852",NA,27,128,NA,4.51,73.25,NA,7372,"LB","LB",NA,1.44,6.59,4.2,2.62,NA,42.5,228,NA,2012
"2853",33.5,NA,NA,NA,4.83,75.125,NA,10824,"LB","LB",9.5,1.74,7.53,4.38,2.8,NA,NA,249,NA,2016
"2854",32.25,NA,NA,NA,4.76,72,NA,11058,"LB","LB",9,1.61,7.84,4.57,2.76,NA,NA,232,NA,2016
"2855",31.5,19,112,NA,4.74,73.25,NA,11011,"LB","LB",10.125,1.62,7.07,4.24,2.74,NA,31.5,241,NA,2016
"2856",32,21,120,NA,4.73,72.625,NA,11285,"LB","LB",9.75,1.6,7.35,4.21,2.67,NA,NA,241,NA,2016
