"","player","player_id","season","offense","rushes","exp_speed","avg_speed","avg_speed_oe","forty","combine_season","twenty","ten","speed_perc","speed_rank","adj_forty","adj_twenty"
"87","Mike Boone",31615,2019,"MIN",50,5.27792032241821,5.29392732751875,0.0160070051005412,4.48,2018,2.66,1.65,53.3,87,4.52,2.66
"88","Miles Sanders",40555,2020,"PHI",158,4.9642898583714,4.98009238392948,0.0158025255580884,4.49,2019,2.66,1.60130952380952,53.3,88,4.53,2.66
"89","Chris Carson",12004,2019,"SEA",257,4.90879977074115,4.92374973977695,0.014949969035804,4.58,2017,2.66,1.6,53.2,89,4.53,2.66
"90","James Conner",11860,2018,"PIT",186,4.88429156682825,4.89804689911836,0.0137553322901176,4.65,2017,2.69,1.63,53.1,90,4.53739583333333,2.66
"91","Chase Edmonds",45851,2020,"ARI",87,4.8938005628257,4.90345635756247,0.00965579473677636,4.55,2018,2.66,1.58,52.7,91,4.53739583333333,2.66
"92","Jaylen Samuels",47297,2018,"PIT",51,5.04677734655492,5.05603562387638,0.00925827732145488,4.54,2018,2.68,1.63,52.7,92,4.53739583333333,2.66
"93","Joshua Kelley",13750,2020,"LAC",107,5.00687183620774,5.01582198900039,0.00895015279265167,4.49,2020,2.66,1.60130952380952,52.6,93,4.53739583333333,2.66
"94","Tony Pollard",27126,2019,"DAL",72,5.22532554467519,5.23347530610994,0.008149761434753,4.52,2019,2.63,1.59,52.6,94,4.53739583333333,2.66
"95","Alvin Kamara",11822,2020,"NO",173,5.33720452110202,5.3441061524785,0.00690163137647208,4.56,2017,2.61,1.55,52.4,95,4.53739583333333,2.66
"96","Josh Jacobs",45953,2019,"LV",229,5.22152701527791,5.22678186607696,0.00525485079905088,4.68,2019,2.71,1.65,52.3,96,4.53739583333333,2.66
"97","Christian McCaffrey",11763,2018,"CAR",168,4.9738817853587,4.97647711796717,0.00259533260846969,4.48,2017,2.6,1.55,52,97,4.53739583333333,2.66
"98","Doug Martin",7035,2018,"LV",146,5.13577533911352,5.13803071355785,0.00225537444432982,4.46,2012,2.69,1.64,52,98,4.53739583333333,2.66
"99","Elijah McGuire",11943,2018,"NYJ",54,5.05118952857123,5.0503685401865,-0.000820988384737398,4.53,2017,2.65,1.61,51.7,99,4.54,2.66
"100","Duke Johnson Jr.",9510,2019,"HOU",78,5.00612867489839,5.00212185352165,-0.00400682137674365,4.54,2015,2.64,1.6,51.4,100,4.54,2.66
"101","Boston Scott",39462,2019,"PHI",55,4.99506857611916,4.98939612479644,-0.00567245132272724,4.44,2018,2.65,1.63,51.2,101,4.54,2.66
"102","Devontae Booker",10770,2020,"LV",82,4.9763596464948,4.96968830358437,-0.00667134291042677,4.53739583333333,2016,2.66,1.60130952380952,51.1,102,4.54,2.66
"103","Alexander Mattison",45817,2019,"MIN",92,5.67476351364799,5.65737978649001,-0.0173837271579856,4.67,2019,2.74,1.62,50,103,4.54,2.66
"104","David Johnson",9519,2019,"ARI",88,4.87677356871692,4.84689589190976,-0.0298776768071525,4.5,2015,2.61,1.57,48.8,104,4.54,2.66
"105","Justin Jackson",29539,2020,"LAC",58,5.1913131311022,5.16099651938674,-0.0303166117154566,4.52,2018,2.62,1.57,48.8,105,4.54,2.66
"106","Kareem Hunt",11841,2018,"KC",145,5.14724513415633,5.11680381487881,-0.0304413192775146,4.62,2017,2.67,1.59,48.7,106,4.54,2.66
"107","Todd Gurley II",9443,2019,"LA",208,5.18777573911043,5.15597373288828,-0.0318020062221528,4.53739583333333,2015,2.66,1.60130952380952,48.6,107,4.54,2.66
"108","Kerryon Johnson",34455,2018,"DET",100,5.20141050577164,5.16899761573945,-0.0324128900321873,4.56,2018,2.73,1.68,48.5,108,4.54,2.66
"109","Joe Mixon",11803,2019,"CIN",259,4.9948494259455,4.9586261342138,-0.0362232917317076,4.49,2017,2.7,1.57,48.2,109,4.54,2.66
"110","Dion Lewis",6301,2019,"TEN",54,5.1777264630353,5.14000999268485,-0.0377164703504496,4.56,2011,2.68,1.6,48,110,4.54,2.66
"111","Tony Pollard",27126,2020,"DAL",98,5.13059384482248,5.09195706567802,-0.0386367791444593,4.52,2019,2.63,1.59,47.9,111,4.54,2.66
"112","Antonio Gibson",78050,2020,"WAS",154,5.11762391437184,5.0778537414982,-0.0397701728736332,4.39,2020,2.66,1.60130952380952,47.8,112,4.54,2.66
"113","Brian Hill",11911,2020,"ATL",99,5.22772964805064,5.18688208501743,-0.0408475630332032,4.54,2017,2.65,1.62,47.7,113,4.55,2.66
"114","LeSean McCoy",4976,2019,"KC",93,5.06795591180043,5.02558804779048,-0.0423678640099456,4.5,2009,2.67,1.58,47.6,114,4.55,2.66
"115","Christian McCaffrey",11763,2019,"CAR",265,5.12467519922077,5.08112784685559,-0.0435473523651753,4.48,2017,2.6,1.55,47.4,115,4.55,2.66
"116","Phillip Lindsay",12660,2020,"DEN",101,5.02867017878164,4.98408042329039,-0.0445897554912496,4.43,2018,2.68,1.62,47.3,116,4.56,2.66
"117","Austin Ekeler",12164,2019,"LAC",112,5.26662835053035,5.2209130208229,-0.0457153297074486,4.53739583333333,NA,2.66,1.60130952380952,47.2,117,4.56,2.66
"118","Adrian Peterson",3623,2020,"DET",155,5.00859841685141,4.9624920294368,-0.046106387414612,4.4,2007,2.6,1.57,47.2,118,4.56,2.66
"119","Jordan Wilkins",26618,2018,"IND",51,5.15476695229025,5.10594695863134,-0.0488199936589179,4.57,2018,2.76,1.62,46.9,119,4.56,2.66
"120","Royce Freeman",45747,2018,"DEN",119,5.04426943153894,4.99074951219789,-0.0535199193410529,4.54,2018,2.66,1.6,46.5,120,4.56,2.66
"121","Jonathan Taylor",57488,2020,"IND",207,5.09056400100966,5.03657390713784,-0.0539900938718171,4.39,2020,2.66,1.60130952380952,46.4,121,4.56,2.66
"122","Isaiah Crowell",9295,2018,"NYJ",108,5.09658991407465,5.03999484997101,-0.0565950641036409,4.57,2014,2.65,1.55,46.2,122,4.56,2.66
"123","David Johnson",9519,2020,"HOU",138,4.91197918981746,4.84869386569355,-0.0632853241239096,4.5,2015,2.61,1.57,45.5,123,4.56,2.66
"124","Saquon Barkley",45791,2019,"NYG",196,4.78749533453766,4.71994922874685,-0.0675461057908092,4.4,2018,2.57,1.54,45.1,124,4.56,2.66
"125","Ito Smith",45932,2018,"ATL",69,5.2998020130655,5.23204899124066,-0.0677530218248456,4.49,2018,2.66,1.62,45.1,125,4.56,2.66
"126","Todd Gurley II",9443,2020,"ATL",182,5.05779288758288,4.98381017406504,-0.0739827135178392,4.53739583333333,2015,2.66,1.60130952380952,44.4,126,4.56,2.66
"127","Marlon Mack",11898,2018,"IND",185,5.18159443107811,5.10617752270988,-0.075416908368236,4.5,2017,2.62,1.55,44.3,127,4.56,2.66
"128","Chris Carson",12004,2018,"SEA",207,4.97406251879706,4.89791651475075,-0.0761460040463084,4.58,2017,2.66,1.6,44.2,128,4.56,2.67
"129","Bilal Powell",6278,2018,"NYJ",71,5.20178512788155,5.12402919075494,-0.0777559371266102,4.51,2011,2.71,1.59,44.1,129,4.57,2.67
"130","Jaylen Samuels",47297,2019,"PIT",54,4.82226064028563,4.74267776149566,-0.0795828787899751,4.54,2018,2.68,1.63,43.9,130,4.57,2.67
